DateTime,SpacesOccupied,PercentOccupied,
2/7/17 9:30,79,8.069458631,Staff
2/7/17 9:45,80,8.171603677,Staff
2/7/17 10:00,80,8.171603677,Staff
2/7/17 10:15,81,8.273748723,Staff
2/7/17 10:30,86,8.784473953,Staff
2/7/17 10:45,92,9.397344229,Staff
2/7/17 11:00,102,10.41879469,Staff
2/7/17 11:15,112,11.44024515,Staff
2/7/17 11:30,123,12.56384065,Staff
2/7/17 11:45,137,13.9938713,Staff
2/7/17 12:00,170,17.36465781,Staff
2/7/17 12:15,208,21.24616956,Staff
2/7/17 12:30,250,25.53626149,Staff
2/7/17 12:45,301,30.74565884,Staff
2/7/17 13:00,351,35.85291113,Staff
2/7/17 13:15,427,43.61593463,Staff
2/7/17 13:30,512,52.29826353,Staff
2/7/17 13:45,608,62.10418795,Staff
2/7/17 14:00,697,71.19509704,Staff
2/7/17 14:15,774,79.06026558,Staff
2/7/17 14:30,842,86.0061287,Staff
2/7/17 14:45,870,88.86618999,Staff
2/7/17 15:00,888,90.70480082,Staff
2/7/17 15:15,898,91.72625128,Staff
2/7/17 15:30,902,92.13483146,Staff
2/7/17 15:45,905,92.4412666,Staff
2/7/17 16:00,911,93.05413687,Staff
2/7/17 16:15,914,93.36057201,Staff
2/7/17 16:30,913,93.25842697,Staff
2/7/17 16:45,911,93.05413687,Staff
2/7/17 17:00,910,92.95199183,Staff
2/7/17 17:15,900,91.93054137,Staff
2/7/17 17:30,902,92.13483146,Staff
2/7/17 17:45,905,92.4412666,Staff
2/7/17 18:00,901,92.03268641,Staff
2/7/17 18:15,896,91.52196118,Staff
2/7/17 18:30,896,91.52196118,Staff
2/7/17 18:45,895,91.41981614,Staff
2/7/17 19:00,897,91.62410623,Staff
2/7/17 19:15,890,90.90909091,Staff
2/7/17 19:30,878,89.68335036,Staff
2/7/17 19:45,872,89.07048008,Staff
2/7/17 20:00,861,87.94688458,Staff
2/7/17 20:15,850,86.82328907,Staff
2/7/17 20:30,824,84.16751788,Staff
2/7/17 20:45,796,81.30745659,Staff
2/7/17 21:00,763,77.93667007,Staff
2/7/17 21:15,715,73.03370787,Staff
2/7/17 21:30,683,69.76506639,Staff
2/7/17 21:45,631,64.453524,Staff
2/7/17 22:00,578,59.03983657,Staff
2/7/17 22:15,524,53.52400409,Staff
2/7/17 22:30,464,47.39530133,Staff
2/7/17 22:45,402,41.06230848,Staff
2/7/17 23:00,331,33.81001021,Staff
2/7/17 23:15,286,29.21348315,Staff
2/7/17 23:30,250,25.53626149,Staff
2/7/17 23:45,227,23.18692543,Staff
2/8/17 0:00,208,21.24616956,Staff
2/8/17 0:15,194,19.81613892,Staff
2/8/17 0:30,184,18.79468846,Staff
2/8/17 0:45,180,18.38610827,Staff
2/8/17 1:00,177,18.07967314,Staff
2/8/17 1:15,156,15.93462717,Staff
2/8/17 1:30,152,15.52604699,Staff
2/8/17 1:45,147,15.01532176,Staff
2/8/17 2:00,138,14.09601634,Staff
2/8/17 2:15,135,13.78958121,Staff
2/8/17 2:30,135,13.78958121,Staff
2/8/17 2:45,133,13.58529111,Staff
2/8/17 3:00,132,13.48314607,Staff
2/8/17 3:15,127,12.97242084,Staff
2/8/17 3:30,127,12.97242084,Staff
2/8/17 3:45,123,12.56384065,Staff
2/8/17 4:00,121,12.35955056,Staff
2/8/17 4:15,119,12.15526047,Staff
2/8/17 4:30,123,12.56384065,Staff
2/8/17 4:45,138,14.09601634,Staff
2/8/17 5:00,139,14.19816139,Staff
2/8/17 5:15,136,13.89172625,Staff
2/8/17 5:30,135,13.78958121,Staff
2/8/17 5:45,135,13.78958121,Staff
2/8/17 6:00,135,13.78958121,Staff
2/8/17 6:15,135,13.78958121,Staff
2/8/17 6:30,135,13.78958121,Staff
2/8/17 6:45,135,13.78958121,Staff
2/8/17 7:00,135,13.78958121,Staff
2/8/17 7:15,135,13.78958121,Staff
2/8/17 7:30,135,13.78958121,Staff
2/8/17 7:45,135,13.78958121,Staff
2/8/17 8:00,135,13.78958121,Staff
2/8/17 8:15,135,13.78958121,Staff
2/8/17 8:30,135,13.78958121,Staff
2/8/17 8:45,135,13.78958121,Staff
2/8/17 9:00,135,13.78958121,Staff
2/8/17 9:15,135,13.78958121,Staff
2/8/17 9:30,135,13.78958121,Staff
2/8/17 9:45,135,13.78958121,Staff
2/8/17 10:00,135,13.78958121,Staff
2/8/17 10:15,136,13.89172625,Staff
2/8/17 10:30,136,13.89172625,Staff
2/8/17 10:45,141,14.40245148,Staff
2/8/17 11:00,147,15.01532176,Staff
2/8/17 11:15,151,15.42390194,Staff
2/8/17 11:30,160,16.34320735,Staff
2/8/17 11:45,172,17.56894791,Staff
2/8/17 12:00,211,21.5526047,Staff
2/8/17 12:15,239,24.41266599,Staff
2/8/17 12:30,276,28.19203269,Staff
2/8/17 12:45,338,34.52502554,Staff
2/8/17 13:00,393,40.14300306,Staff
2/8/17 13:15,471,48.11031665,Staff
2/8/17 13:30,549,56.07763023,Staff
2/8/17 13:45,626,63.94279877,Staff
2/8/17 14:00,715,73.03370787,Staff
2/8/17 14:15,789,80.59244127,Staff
2/8/17 14:30,852,87.02757916,Staff
2/8/17 14:45,891,91.01123596,Staff
2/8/17 15:00,906,92.54341164,Staff
2/8/17 15:15,912,93.15628192,Staff
2/8/17 15:30,929,94.8927477,Staff
2/8/17 15:45,932,95.19918284,Staff
2/8/17 16:00,935,95.50561798,Staff
2/8/17 16:15,939,95.91419816,Staff
2/8/17 16:30,943,96.32277835,Staff
2/8/17 16:45,945,96.52706844,Staff
2/8/17 17:00,940,96.01634321,Staff
2/8/17 17:15,944,96.42492339,Staff
2/8/17 17:30,942,96.2206333,Staff
2/8/17 17:45,937,95.70990807,Staff
2/8/17 18:00,934,95.40347293,Staff
2/8/17 18:15,927,94.68845761,Staff
2/8/17 18:30,925,94.48416752,Staff
2/8/17 18:45,926,94.58631256,Staff
2/8/17 19:00,920,93.97344229,Staff
2/8/17 19:15,912,93.15628192,Staff
2/8/17 19:30,902,92.13483146,Staff
2/8/17 19:45,892,91.113381,Staff
2/8/17 20:00,886,90.50051073,Staff
2/8/17 20:15,873,89.17262513,Staff
2/8/17 20:30,850,86.82328907,Staff
2/8/17 20:45,823,84.06537283,Staff
2/8/17 21:00,801,81.81818182,Staff
2/8/17 21:15,751,76.71092952,Staff
2/8/17 21:30,707,72.2165475,Staff
2/8/17 21:45,651,66.49642492,Staff
2/8/17 22:00,584,59.65270684,Staff
2/8/17 22:15,521,53.21756895,Staff
2/8/17 22:30,437,44.63738509,Staff
2/8/17 22:45,391,39.93871297,Staff
2/8/17 23:00,343,35.03575077,Staff
2/8/17 23:15,314,32.07354443,Staff
2/8/17 23:30,283,28.90704801,Staff
2/8/17 23:45,256,26.14913177,Staff
2/9/17 0:00,235,24.0040858,Staff
2/9/17 0:15,218,22.26762002,Staff
2/9/17 0:30,198,20.2247191,Staff
2/9/17 0:45,188,19.20326864,Staff
2/9/17 1:00,183,18.69254341,Staff
2/9/17 1:15,175,17.87538304,Staff
2/9/17 1:30,172,17.56894791,Staff
2/9/17 1:45,168,17.16036772,Staff
2/9/17 2:00,167,17.05822268,Staff
2/9/17 2:15,167,17.05822268,Staff
2/9/17 2:30,164,16.75178754,Staff
2/9/17 2:45,161,16.4453524,Staff
2/9/17 3:00,158,16.13891726,Staff
2/9/17 3:15,150,15.32175689,Staff
2/9/17 3:30,150,15.32175689,Staff
2/9/17 3:45,149,15.21961185,Staff
2/9/17 4:00,148,15.1174668,Staff
2/9/17 4:15,144,14.70888662,Staff
2/9/17 4:30,143,14.60674157,Staff
2/9/17 4:45,142,14.50459653,Staff
2/9/17 5:00,141,14.40245148,Staff
2/9/17 5:15,85,0,Staff
2/9/17 5:30,85,0,Staff
2/9/17 5:45,85,0,Staff
2/9/17 6:00,85,0,Staff
2/9/17 6:15,85,0,Staff
2/9/17 6:30,85,0,Staff
2/9/17 6:45,85,0,Staff
2/9/17 7:00,85,0,Staff
2/9/17 7:15,85,0,Staff
2/9/17 7:30,85,0,Staff
2/9/17 7:45,85,0,Staff
2/9/17 8:00,85,0,Staff
2/9/17 8:15,85,0,Staff
2/9/17 8:30,85,0,Staff
2/9/17 8:45,85,0,Staff
2/9/17 9:00,85,0,Staff
2/9/17 9:15,85,0,Staff
2/9/17 9:30,85,0,Staff
2/9/17 9:45,148,15.1174668,Staff
2/9/17 10:00,149,15.21961185,Staff
2/9/17 10:15,149,15.21961185,Staff
2/9/17 10:30,154,15.73033708,Staff
2/9/17 10:45,156,15.93462717,Staff
2/9/17 11:00,157,16.03677222,Staff
2/9/17 11:15,158,16.13891726,Staff
2/9/17 11:30,158,16.13891726,Staff
2/9/17 11:45,159,16.24106231,Staff
2/9/17 12:00,160,16.34320735,Staff
2/9/17 12:15,159,16.24106231,Staff
2/9/17 12:30,163,16.64964249,Staff
2/9/17 12:45,161,16.4453524,Staff
2/9/17 13:00,163,16.64964249,Staff
2/9/17 13:15,162,16.54749745,Staff
2/9/17 13:30,163,16.64964249,Staff
2/9/17 13:45,161,16.4453524,Staff
2/9/17 14:00,161,16.4453524,Staff
2/9/17 14:15,161,16.4453524,Staff
2/9/17 14:30,162,16.54749745,Staff
2/9/17 14:45,159,16.24106231,Staff
2/9/17 15:00,159,16.24106231,Staff
2/9/17 15:15,159,16.24106231,Staff
2/9/17 15:30,159,16.24106231,Staff
2/9/17 15:45,168,17.16036772,Staff
2/9/17 16:00,169,17.26251277,Staff
2/9/17 16:15,169,17.26251277,Staff
2/9/17 16:45,169,17.26251277,Staff
2/9/17 17:00,169,17.26251277,Staff
2/9/17 17:15,170,17.36465781,Staff
2/9/17 17:30,170,17.36465781,Staff
2/9/17 17:45,169,17.26251277,Staff
2/9/17 18:00,170,17.36465781,Staff
2/9/17 18:15,173,17.67109295,Staff
2/9/17 18:30,172,17.56894791,Staff
2/9/17 18:45,172,17.56894791,Staff
2/9/17 19:00,173,17.67109295,Staff
2/9/17 19:15,173,17.67109295,Staff
2/9/17 19:30,173,17.67109295,Staff
2/9/17 19:45,172,17.56894791,Staff
2/9/17 20:00,172,17.56894791,Staff
2/9/17 20:15,171,17.46680286,Staff
2/9/17 20:30,170,17.36465781,Staff
2/9/17 20:45,169,17.26251277,Staff
2/9/17 21:00,170,17.36465781,Staff
2/9/17 21:15,169,17.26251277,Staff
2/9/17 21:30,169,17.26251277,Staff
2/9/17 21:45,170,17.36465781,Staff
2/9/17 22:00,172,17.56894791,Staff
2/9/17 22:15,172,17.56894791,Staff
2/9/17 22:30,172,17.56894791,Staff
2/9/17 22:45,172,17.56894791,Staff
2/9/17 23:00,173,17.67109295,Staff
2/9/17 23:15,173,17.67109295,Staff
2/9/17 23:30,173,17.67109295,Staff
2/9/17 23:45,173,17.67109295,Staff
2/10/17 0:00,173,17.67109295,Staff
2/10/17 0:15,173,17.67109295,Staff
2/10/17 0:30,173,17.67109295,Staff
2/10/17 0:45,173,17.67109295,Staff
2/10/17 1:00,173,17.67109295,Staff
2/10/17 1:15,173,17.67109295,Staff
2/10/17 1:30,173,17.67109295,Staff
2/10/17 1:45,173,17.67109295,Staff
2/10/17 2:00,173,17.67109295,Staff
2/10/17 2:15,172,17.56894791,Staff
2/10/17 2:30,172,17.56894791,Staff
2/10/17 2:45,171,17.46680286,Staff
2/10/17 3:00,172,17.56894791,Staff
2/10/17 3:15,173,17.67109295,Staff
2/10/17 3:30,173,17.67109295,Staff
2/10/17 3:45,173,17.67109295,Staff
2/10/17 4:00,174,17.773238,Staff
2/10/17 4:15,172,17.56894791,Staff
2/10/17 4:30,173,17.67109295,Staff
2/10/17 4:45,172,17.56894791,Staff
2/10/17 5:00,172,17.56894791,Staff
2/10/17 5:15,93,0,Staff
2/10/17 5:30,93,0,Staff
2/10/17 5:45,93,0,Staff
2/10/17 6:00,93,0,Staff
2/10/17 6:15,93,0,Staff
2/10/17 6:30,93,0,Staff
2/10/17 6:45,93,0,Staff
2/10/17 7:00,93,0,Staff
2/10/17 7:15,93,0,Staff
2/10/17 7:30,170,17.36465781,Staff
2/10/17 7:45,170,17.36465781,Staff
2/10/17 8:00,170,17.36465781,Staff
2/10/17 8:15,170,17.36465781,Staff
2/10/17 8:30,170,17.36465781,Staff
2/10/17 8:45,170,17.36465781,Staff
2/10/17 9:00,170,17.36465781,Staff
2/10/17 9:15,170,17.36465781,Staff
2/10/17 9:30,170,17.36465781,Staff
2/10/17 9:45,170,17.36465781,Staff
2/10/17 10:00,169,17.26251277,Staff
2/10/17 10:15,169,17.26251277,Staff
2/10/17 10:30,170,17.36465781,Staff
2/10/17 10:45,174,17.773238,Staff
2/10/17 11:00,175,17.87538304,Staff
2/10/17 11:15,178,18.18181818,Staff
2/10/17 11:30,182,18.59039837,Staff
2/10/17 11:45,189,19.30541369,Staff
2/10/17 12:00,205,20.93973442,Staff
2/10/17 12:15,228,23.28907048,Staff
2/10/17 12:30,249,25.43411645,Staff
2/10/17 12:45,278,28.39632278,Staff
2/10/17 13:00,307,31.35852911,Staff
2/10/17 13:15,345,35.24004086,Staff
2/10/17 13:30,371,37.89581205,Staff
2/10/17 13:45,385,39.3258427,Staff
2/10/17 14:00,405,41.36874362,Staff
2/10/17 14:15,415,42.39019408,Staff
2/10/17 14:30,419,42.79877426,Staff
2/10/17 14:45,432,44.12665986,Staff
2/10/17 15:00,434,44.33094995,Staff
2/10/17 15:15,439,44.84167518,Staff
2/10/17 15:30,436,44.53524004,Staff
2/10/17 15:45,433,44.2288049,Staff
2/10/17 16:00,438,44.73953013,Staff
2/10/17 16:15,437,44.63738509,Staff
2/10/17 16:30,435,44.43309499,Staff
2/10/17 16:45,432,44.12665986,Staff
2/10/17 17:00,432,44.12665986,Staff
2/10/17 17:15,424,43.30949949,Staff
2/10/17 17:30,420,42.90091931,Staff
2/10/17 17:45,421,43.00306435,Staff
2/10/17 18:00,416,42.49233912,Staff
2/10/17 18:15,412,42.08375894,Staff
2/10/17 18:30,411,41.98161389,Staff
2/10/17 18:45,408,41.67517875,Staff
2/10/17 19:00,401,40.96016343,Staff
2/10/17 19:15,398,40.65372829,Staff
2/10/17 19:30,392,40.04085802,Staff
2/10/17 19:45,386,39.42798774,Staff
2/10/17 20:00,379,38.71297242,Staff
2/10/17 20:15,364,37.18079673,Staff
2/10/17 20:30,337,34.42288049,Staff
2/10/17 20:45,321,32.78855975,Staff
2/10/17 21:00,302,30.84780388,Staff
2/10/17 21:15,262,26.76200204,Staff
2/10/17 21:30,229,23.39121553,Staff
2/10/17 21:45,193,19.71399387,Staff
2/10/17 22:00,151,15.42390194,Staff
2/10/17 22:15,105,10.72522983,Staff
2/10/17 22:30,56,5.720122574,Staff
2/10/17 22:45,21,2.145045965,Staff
2/10/17 23:00,-10,-1.02145046,Staff
2/10/17 23:15,-37,-3.779366701,Staff
2/10/17 23:30,-48,-4.902962206,Staff
2/10/17 23:45,-61,-6.230847804,Staff
2/11/17 0:00,-64,-6.537282942,Staff
2/11/17 0:15,105,10.72522983,Staff
2/11/17 0:30,102,10.41879469,Staff
2/11/17 0:45,103,10.52093973,Staff
2/11/17 1:00,101,10.31664964,Staff
2/11/17 1:15,98,10.0102145,Staff
2/11/17 1:30,96,9.805924413,Staff
2/11/17 1:45,93,9.499489275,Staff
2/11/17 2:00,90,9.193054137,Staff
2/11/17 2:15,89,9.090909091,Staff
2/11/17 2:30,90,9.193054137,Staff
2/11/17 2:45,95,9.703779367,Staff
2/11/17 3:00,95,9.703779367,Staff
2/11/17 3:15,92,9.397344229,Staff
2/11/17 3:30,89,9.090909091,Staff
2/11/17 3:45,89,9.090909091,Staff
2/11/17 4:00,88,8.988764045,Staff
2/11/17 4:15,85,8.682328907,Staff
2/11/17 4:30,84,8.580183861,Staff
2/11/17 4:45,83,8.478038815,Staff
2/11/17 5:00,83,8.478038815,Staff
2/11/17 5:15,82,8.375893769,Staff
2/11/17 5:30,82,8.375893769,Staff
2/11/17 5:45,82,8.375893769,Staff
2/11/17 6:00,80,8.171603677,Staff
2/11/17 6:15,80,8.171603677,Staff
2/11/17 6:30,80,8.171603677,Staff
2/11/17 6:45,80,8.171603677,Staff
2/11/17 7:00,80,8.171603677,Staff
2/11/17 7:15,80,8.171603677,Staff
2/11/17 7:30,80,8.171603677,Staff
2/11/17 7:45,80,8.171603677,Staff
2/11/17 8:00,80,8.171603677,Staff
2/11/17 8:15,80,8.171603677,Staff
2/11/17 8:30,80,8.171603677,Staff
2/11/17 8:45,80,8.171603677,Staff
2/11/17 9:00,80,8.171603677,Staff
2/11/17 9:15,80,8.171603677,Staff
2/11/17 9:30,80,8.171603677,Staff
2/11/17 9:45,80,8.171603677,Staff
2/11/17 10:00,80,8.171603677,Staff
2/11/17 10:15,80,8.171603677,Staff
2/11/17 10:30,80,8.171603677,Staff
2/11/17 10:45,80,8.171603677,Staff
2/11/17 11:00,80,8.171603677,Staff
2/11/17 11:15,81,8.273748723,Staff
2/11/17 11:30,81,8.273748723,Staff
2/11/17 11:45,81,8.273748723,Staff
2/11/17 12:00,81,8.273748723,Staff
2/11/17 12:15,80,8.171603677,Staff
2/11/17 12:30,96,9.805924413,Staff
2/11/17 12:45,96,9.805924413,Staff
2/11/17 13:00,96,9.805924413,Staff
2/11/17 13:15,100,10.2145046,Staff
2/11/17 13:30,106,10.82737487,Staff
2/11/17 13:45,117,11.95097038,Staff
2/11/17 14:00,124,12.6659857,Staff
2/11/17 14:15,123,12.56384065,Staff
2/11/17 14:30,126,12.87027579,Staff
2/11/17 14:45,157,16.03677222,Staff
2/11/17 15:00,158,16.13891726,Staff
2/11/17 15:15,158,16.13891726,Staff
2/11/17 15:30,158,16.13891726,Staff
2/11/17 15:45,158,16.13891726,Staff
2/11/17 16:00,157,16.03677222,Staff
2/11/17 16:15,158,16.13891726,Staff
2/11/17 16:30,156,15.93462717,Staff
2/11/17 16:45,156,15.93462717,Staff
2/11/17 17:00,156,15.93462717,Staff
2/11/17 17:15,156,15.93462717,Staff
2/11/17 17:30,155,15.83248212,Staff
2/11/17 17:45,155,15.83248212,Staff
2/11/17 18:00,155,15.83248212,Staff
2/11/17 18:15,154,15.73033708,Staff
2/11/17 18:30,155,15.83248212,Staff
2/11/17 18:45,155,15.83248212,Staff
2/11/17 19:00,155,15.83248212,Staff
2/11/17 19:15,155,15.83248212,Staff
2/11/17 19:30,153,15.62819203,Staff
2/11/17 19:45,153,15.62819203,Staff
2/11/17 20:00,153,15.62819203,Staff
2/11/17 20:15,152,15.52604699,Staff
2/11/17 20:30,152,15.52604699,Staff
2/11/17 20:45,152,15.52604699,Staff
2/11/17 21:00,151,15.42390194,Staff
2/11/17 21:15,147,15.01532176,Staff
2/11/17 21:30,135,13.78958121,Staff
2/11/17 21:45,133,13.58529111,Staff
2/11/17 22:00,131,13.38100102,Staff
2/11/17 22:15,127,12.97242084,Staff
2/11/17 22:30,124,12.6659857,Staff
2/11/17 22:45,126,12.87027579,Staff
2/11/17 23:00,127,12.97242084,Staff
2/11/17 23:15,127,12.97242084,Staff
2/11/17 23:30,127,12.97242084,Staff
2/11/17 23:45,127,12.97242084,Staff
2/12/17 0:00,129,13.17671093,Staff
2/12/17 0:15,129,13.17671093,Staff
2/12/17 0:30,129,13.17671093,Staff
2/12/17 0:45,129,13.17671093,Staff
2/12/17 1:00,129,13.17671093,Staff
2/12/17 1:15,129,13.17671093,Staff
2/12/17 1:30,129,13.17671093,Staff
2/12/17 1:45,129,13.17671093,Staff
2/12/17 2:00,129,13.17671093,Staff
2/12/17 2:15,129,13.17671093,Staff
2/12/17 2:30,129,13.17671093,Staff
2/12/17 2:45,128,13.07456588,Staff
2/12/17 3:00,128,13.07456588,Staff
2/12/17 3:15,128,13.07456588,Staff
2/12/17 3:30,128,13.07456588,Staff
2/12/17 3:45,128,13.07456588,Staff
2/12/17 4:00,127,12.97242084,Staff
2/12/17 4:15,127,12.97242084,Staff
2/12/17 4:30,127,12.97242084,Staff
2/12/17 4:45,126,12.87027579,Staff
2/12/17 5:00,126,12.87027579,Staff
2/12/17 5:15,126,12.87027579,Staff
2/12/17 5:30,125,12.76813075,Staff
2/12/17 5:45,125,12.76813075,Staff
2/12/17 6:00,125,12.76813075,Staff
2/12/17 6:15,125,12.76813075,Staff
2/12/17 6:30,125,12.76813075,Staff
2/12/17 6:45,125,12.76813075,Staff
2/12/17 7:00,125,12.76813075,Staff
2/12/17 7:15,125,12.76813075,Staff
2/12/17 7:30,125,12.76813075,Staff
2/12/17 7:45,125,12.76813075,Staff
2/12/17 8:00,125,12.76813075,Staff
2/12/17 8:15,125,12.76813075,Staff
2/12/17 8:30,125,12.76813075,Staff
2/12/17 8:45,125,12.76813075,Staff
2/12/17 9:00,125,12.76813075,Staff
2/12/17 9:15,125,12.76813075,Staff
2/12/17 9:30,125,12.76813075,Staff
2/12/17 9:45,125,12.76813075,Staff
2/12/17 10:00,125,12.76813075,Staff
2/12/17 10:15,125,12.76813075,Staff
2/12/17 10:30,125,12.76813075,Staff
2/12/17 10:45,125,12.76813075,Staff
2/12/17 11:00,125,12.76813075,Staff
2/12/17 11:15,125,12.76813075,Staff
2/12/17 11:30,125,12.76813075,Staff
2/12/17 11:45,125,12.76813075,Staff
2/12/17 12:00,125,12.76813075,Staff
2/12/17 12:15,124,12.6659857,Staff
2/12/17 12:30,124,12.6659857,Staff
2/12/17 12:45,124,12.6659857,Staff
2/12/17 13:00,124,12.6659857,Staff
2/12/17 13:15,124,12.6659857,Staff
2/12/17 13:30,124,12.6659857,Staff
2/12/17 13:45,124,12.6659857,Staff
2/12/17 14:00,125,12.76813075,Staff
2/12/17 14:15,125,12.76813075,Staff
2/12/17 14:30,125,12.76813075,Staff
2/12/17 14:45,125,12.76813075,Staff
2/12/17 15:00,125,12.76813075,Staff
2/12/17 15:15,125,12.76813075,Staff
2/12/17 15:30,125,12.76813075,Staff
2/12/17 15:45,125,12.76813075,Staff
2/12/17 16:00,125,12.76813075,Staff
2/12/17 16:15,125,12.76813075,Staff
2/12/17 16:30,124,12.6659857,Staff
2/12/17 16:45,124,12.6659857,Staff
2/12/17 17:00,124,12.6659857,Staff
2/12/17 17:15,124,12.6659857,Staff
2/12/17 17:30,124,12.6659857,Staff
2/12/17 17:45,124,12.6659857,Staff
2/12/17 18:00,124,12.6659857,Staff
2/12/17 18:15,124,12.6659857,Staff
2/12/17 18:30,124,12.6659857,Staff
2/12/17 18:45,123,12.56384065,Staff
2/12/17 19:00,123,12.56384065,Staff
2/12/17 19:15,123,12.56384065,Staff
2/12/17 19:30,123,12.56384065,Staff
2/12/17 19:45,123,12.56384065,Staff
2/12/17 20:00,122,12.46169561,Staff
2/12/17 20:15,122,12.46169561,Staff
2/12/17 20:30,123,12.56384065,Staff
2/12/17 20:45,123,12.56384065,Staff
2/12/17 21:00,123,12.56384065,Staff
2/12/17 21:15,122,12.46169561,Staff
2/12/17 21:30,121,12.35955056,Staff
2/12/17 21:45,118,12.05311542,Staff
2/12/17 22:00,117,11.95097038,Staff
2/12/17 22:15,117,11.95097038,Staff
2/12/17 22:30,118,12.05311542,Staff
2/12/17 22:45,118,12.05311542,Staff
2/12/17 23:00,118,12.05311542,Staff
2/12/17 23:15,118,12.05311542,Staff
2/12/17 23:30,118,12.05311542,Staff
2/12/17 23:45,118,12.05311542,Staff
2/13/17 0:00,117,11.95097038,Staff
2/13/17 0:15,118,12.05311542,Staff
2/13/17 0:30,118,12.05311542,Staff
2/13/17 0:45,118,12.05311542,Staff
2/13/17 1:00,118,12.05311542,Staff
2/13/17 1:15,117,11.95097038,Staff
2/13/17 1:30,117,11.95097038,Staff
2/13/17 1:45,117,11.95097038,Staff
2/13/17 2:00,117,11.95097038,Staff
2/13/17 2:15,117,11.95097038,Staff
2/13/17 2:30,117,11.95097038,Staff
2/13/17 2:45,117,11.95097038,Staff
2/13/17 3:00,117,11.95097038,Staff
2/13/17 3:15,117,11.95097038,Staff
2/13/17 3:30,117,11.95097038,Staff
2/13/17 3:45,117,11.95097038,Staff
2/13/17 4:00,117,11.95097038,Staff
2/13/17 4:15,117,11.95097038,Staff
2/13/17 4:30,117,11.95097038,Staff
2/13/17 4:45,116,11.84882533,Staff
2/13/17 5:00,116,11.84882533,Staff
2/13/17 5:15,116,11.84882533,Staff
2/13/17 5:30,116,11.84882533,Staff
2/13/17 5:45,116,11.84882533,Staff
2/13/17 6:00,116,11.84882533,Staff
2/13/17 6:15,116,11.84882533,Staff
2/13/17 6:30,116,11.84882533,Staff
2/13/17 6:45,116,11.84882533,Staff
2/13/17 7:00,116,11.84882533,Staff
2/13/17 7:15,116,11.84882533,Staff
2/13/17 7:30,116,11.84882533,Staff
2/13/17 7:45,116,11.84882533,Staff
2/13/17 8:00,116,11.84882533,Staff
2/13/17 8:15,116,11.84882533,Staff
2/13/17 8:30,116,11.84882533,Staff
2/13/17 8:45,116,11.84882533,Staff
2/13/17 9:00,117,11.95097038,Staff
2/13/17 9:15,116,11.84882533,Staff
2/13/17 9:30,116,11.84882533,Staff
2/13/17 9:45,116,11.84882533,Staff
2/13/17 10:00,116,11.84882533,Staff
2/13/17 10:15,116,11.84882533,Staff
2/13/17 10:30,117,11.95097038,Staff
2/13/17 10:45,118,12.05311542,Staff
2/13/17 11:00,123,12.56384065,Staff
2/13/17 11:15,124,12.6659857,Staff
2/13/17 11:30,135,13.78958121,Staff
2/13/17 11:45,150,15.32175689,Staff
2/13/17 12:00,185,18.8968335,Staff
2/13/17 12:15,225,22.98263534,Staff
2/13/17 12:30,268,27.37487232,Staff
2/13/17 12:45,318,32.48212462,Staff
2/13/17 13:00,387,39.53013279,Staff
2/13/17 13:15,439,44.84167518,Staff
2/13/17 13:30,521,53.21756895,Staff
2/13/17 13:45,606,61.89989785,Staff
